,0
0,Aris[BIA]
1,Seedorf
2,Szopix
3,Mauser
4,Chewie
5,Burger[BiA]
6,Duke
7,Igor
8,RasaDeDam
9,Hardcase28
10,GameKnighted
11,Steel
12,Soyo[BIA]
13,Djordje
14,Pedrovsky
15,Archer
16,KostasGamer
17,Lord[BiA]
18,Nikic
19,Tayra
20,Flappy
21,Bifixd
22,Johnny
23,Varoll
24,Lipe
25,Arin
26,ViperX[PAB][BiA]
27,Usagi
28,Kaczomen
29,Ske
30,psixyio
31,Poison[BIA]
32,Mo
33,Yak
34,Aleksa
35,Farrapo
36,Mile
37,Mora
38,Miletic
39,WJarvis
40,Sclembi
41,Mix[BiA]
42,Desolus
43,cobe[BiA]
44,Skywalker[BiA]
45,Istan
46,Yuzo
47,Vlad
48,Feather
49,Dimi
50,D0CTOR
51,gemon
52,Darius
53,Zero
54,Yotza
55,Psion
56,Murdock
57,Glenn
58,Strale
59,Spud
60,tootee
61,Sale
62,Wolfmother
63,Uni_Play
64,Enzoo
65,Blackshadow
66,niceguyphil
67,Gillette
68,Martis
69,Bovan
70,Frenki
71,Michalox
72,Profa
73,Orbit
74,Timotemati
75,Krnja
76,JaneSRBRUS
77,Joe
78,BOT_Stuart[BIA]
79,Lazar
