,0
0,Kofeina
1,Spud
2,Murdock
3,Punisher
4,niceguyphil
5,Bismark
6,Chak
7,Lazar
8,D0ctor
9,Bovan
10,Chewie
11,Gillette
12,Sclembi
13,Burger
14,angle
15,S.Lux
16,Mo
17,Luanmh
18,Exillius
19,Zvuk
20,Hairy
21,Zex
22,Patch
23,BioXBattle
24,BadNews
25,Johnny
26,Exoz
27,Sebastian
28,Deltas7
29,Bloodica
30,Blind
31,T1MOROS
32,LooNeY
33,Lord
34,deathmaker
35,Lexus
36,ALEX 141
37,Malkav-X
38,Morskin
39,Aris
40,Abramusas
41,YourDoctor
42,RasaDeDam
43,Cobe
44,Bobi
45,Heinrich
46,Skywalker
47,Gganzer
48,Hunter
49,SpeedKing
50,Szopix
51,Magnum
52,Loshmi
53,Berkin
54,Rexma
55,Ergones
56,Psion
57,Flappy
58,Anctus
59,Usagi
60,Louis_Bolgarov
61,Turtright
62,_gri
63,bulia
64,Kaczomen
65,Mini
66,Flavius Justinianus
67,Combat
68,Scharf
69,Nebula
70,Yotza
71,S.Tim
72,Miletic
73,Orbit
74,W.Jarvis
75,Imbalance
76,Archer
77,fresh_ziomal
78,Zero
79,hampter
